ZIP,MHI,Minority,popdensity,EVs.per.1k.People,Public transportation,area_status
07645,178269,0.28064262442422194,2212.5279642058167,59.88,0.05282738095238095,Non-Gap
07646,114889,0.48943807002059425,7444.152431011827,32.07,0.07526753864447087,NA
07647,128542,0.4928139183055976,2331.5696649029983,44.82,0.08428805237315876,Gap
07648,178311,0.4311670160726765,2055.296229802513,65.69,0.04418363824646186,Gap
07649,221322,0.23764420157862776,3415.595188718374,50.39,0.07524800387127994,Gap
07650,94743,0.7750616067028093,16376.109765940273,45.39,0.140832436311446,Gap
07652,144349,0.44579945799458,2543.6093824796553,63.84,0.07866843325604504,Non-Gap
07656,171029,0.20189240910057416,3607.978519370924,33.81,0.02921884317233155,Non-Gap
07657,118059,0.5998434510349626,4521.431380259536,33.31,0.1521809895833333,Non-Gap
07660,100718,0.6013600302228939,7762.463343108504,22.36,0.1193534420551306,NA
07661,159028,0.4526507319493839,6621.57721796276,50.2,0.1214366242551135,NA
07662,110380,0.36360538422218436,5922.300706357215,26.58,0.0561309722686268,Non-Gap
07663,129073,0.3120882169359872,5356.240713224368,25.8,0.07990226023213196,Non-Gap
07666,144075,0.5901471009647531,6931.964906472438,36.97,0.1524819322936478,Non-Gap
07670,208200,0.47131013773745023,3340.383776711731,95.89,0.1179742388758782,Gap
07675,183154,0.38246370982485645,2835.8564910825385,49.62,0.08095270874922558,Gap
07676,180133,0.16786442132360824,3157.1283440568914,34.86,0.04328621908127209,NA
07677,213981,0.25633940182054615,1822.2748815165878,244.96,0.07129385137683893,Non-Gap
07701,112143,0.22710863144076143,2662.8796154686474,23.96,0.05361586607344846,Non-Gap
07702,178958,0.1464465183058148,1933.826931975937,36.61,0.1282051282051282,Non-Gap
07703,NA,NA,0,0,NA,NA
07704,250001,0.06564019448946512,3846.6334164588525,50.41,0.1808896210873147,NA
07711,112404,0.2864107251675807,2536.3214837712517,97.5,0.1466113416320885,NA
07712,96725,0.4137931034482759,3287.046123650638,27.27,0.03400608238871993,Gap
07716,126591,0.11076127291127857,2017.9260267755842,32.39,0.1184668989547038,Gap
07717,122635,0.0399014778325123,4765.258215962442,24.14,0.06919431279620854,NA
07718,131531,0.1482427155301892,3216.425120772947,14.42,0.05631399317406143,Gap
